MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
3307425;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;-;Doutorado;PA;Campus Breves;EBTT;Efetivo;Sim
3278291;123;D;3526;1501709;IFPA;40h;Bragança;1;Região Norte;-;Graduação;PA;Campus Bragança;EBTT;Substituto/Temporario;Sim
3278292;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;-;Mestrado;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
3279218;266;D;13396;1503606;IFPA;40h;Itaituba;1;Região Norte;-;Graduação;PA;Campus Itaituba;EBTT;Substituto/Temporario;Sim
3292748;1;D;3524;1500107;IFPA;40h;Abaetetuba;1;Região Norte;-;Mestrado;PA;Campus Abaetetuba;EBTT;Substituto/Temporario;Sim
3293244;1;D;3524;1500107;IFPA;40h;Abaetetuba;1;Região Norte;-;Mestrado;PA;Campus Abaetetuba;EBTT;Substituto/Temporario;Sim
3299478;362;D;32357;1505502;IFPA;40h;Paragominas;1;Região Norte;-;Graduação;PA;Campus Paragominas;PCCTAE;Efetivo;Não
3299600;362;D;32357;1505502;IFPA;40h;Paragominas;1;Região Norte;-;Graduação;PA;Campus Paragominas;PCCTAE;Efetivo;Não
3299644;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
3299673;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;PCCTAE;Efetivo;Não
3299741;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
3299742;139;D;32358;1502103;IFPA;40h;Cametá;1;Região Norte;-;Mestrado;PA;Campus Cametá;EBTT;Substituto/Temporario;Sim
3299810;1;E;3524;1500107;IFPA;40h;Abaetetuba;1;Região Norte;-;Especialização;PA;Campus Abaetetuba;PCCTAE;Efetivo;Não
3279487;702;C;32049;1508209;IFPA;40h;Vigia;1;Região Norte;-;Graduação;PA;Campus Avançado Vigia;PCCTAE;Efetivo;Não
3280027;266;D;13396;1503606;IFPA;40h;Itaituba;1;Região Norte;-;Graduação;PA;Campus Itaituba;EBTT;Substituto/Temporario;Sim
3293843;13;D;2916;1500602;IFPA;40h;Altamira;1;Região Norte;-;Graduação;PA;Campus Altamira;EBTT;Substituto/Temporario;Sim
3294079;350;D;32074;1505106;IFPA;40h;Óbidos;1;Região Norte;-;Graduação;PA;Campus Óbidos;EBTT;Substituto/Temporario;Sim
3299818;511;D;2918;1508100;IFPA;40h;Tucuruí;1;Região Norte;-;Especialização;PA;Campus Tucuruí;PCCTAE;Efetivo;Não
3299822;366;E;32045;1505536;IFPA;40h;Parauapebas;1;Região Norte;-;Especialização;PA;Campus Parauapebas;PCCTAE;Efetivo;Não
3299918;511;D;2918;1508100;IFPA;40h;Tucuruí;1;Região Norte;-;Educação Básica;PA;Campus Tucuruí;PCCTAE;Efetivo;Não
3300065;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
3307962;186;D;3522;1502707;IFPA;DE;Conceição do Araguaia;1;Região Norte;RSC III;Mestrado;PA;Campus Conceição do Araguaia;EBTT;Efetivo;Sim
3308048;320;D;2917;1504208;IFPA;DE;Marabá;1;Região Norte;-;Doutorado;PA;Campus Marabá Rural;EBTT;Efetivo;Sim
3281268;1;E;3524;1500107;IFPA;40h;Abaetetuba;1;Região Norte;-;Graduação;PA;Campus Abaetetuba;PCCTAE;Efetivo;Não
3281652;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
